trade_date,close,weighted_avg_sent,pos_ratio,neg_ratio,news_cnt,align,weighted_avg_sent_ma7
2025-10-10,4461.0,0.22321428571428573,0.3333333333333333,0.0,3,T,0.22321428571428573
2025-10-11,4461.0,0.22321428571428573,0.3333333333333333,0.0,3,T+1,0.22321428571428573
2025-10-14,4310.0,-0.46875,0.0,1.0,1,T,-0.12276785714285714
2025-10-15,4342.0,0.4955357142857143,0.6666666666666666,0.0,3,T,0.08333333333333333
2025-10-15,4310.0,-0.46875,0.0,1.0,1,T+1,-0.12276785714285714
2025-10-16,4321.0,0.2857142857142857,0.25,0.0,4,T,0.13392857142857142
2025-10-16,4342.0,0.4955357142857143,0.6666666666666666,0.0,3,T+1,0.08333333333333333
2025-10-17,4300.0,0.0,0.0,0.0,9,T,0.10714285714285714
2025-10-17,4321.0,0.2857142857142857,0.25,0.0,4,T+1,0.13392857142857142
2025-10-18,4300.0,0.0,0.0,0.0,9,T+1,0.10714285714285714
2025-10-20,4420.0,0.0,0.0,0.0,8,T,0.08928571428571429
2025-10-21,4420.0,0.0,0.0,0.0,1,T,0.07653061224489796
2025-10-21,4420.0,0.0,0.0,0.0,8,T+1,0.08928571428571429
2025-10-22,4400.0,0.0,0.0,0.0,1,T,0.044642857142857144
2025-10-22,4400.0,0.0,0.0,0.0,1,T+1,0.07653061224489796
2025-10-23,4389.0,0.0,0.0,0.0,1,T,0.11160714285714286
2025-10-23,4400.0,0.0,0.0,0.0,1,T+1,0.044642857142857144
2025-10-24,4389.0,0.0,0.0,0.0,1,T+1,0.11160714285714286
2025-10-24,4377.0,0.0,0.0,0.0,4,T,0.04081632653061224
2025-10-25,4377.0,0.0,0.0,0.0,4,T+1,0.04081632653061224
2025-10-27,4402.0,0.3860294117647059,0.6666666666666666,0.0,3,T,0.05514705882352942
2025-10-28,4402.0,0.3860294117647059,0.6666666666666666,0.0,3,T+1,0.05514705882352942
2025-10-28,4375.0,0.0,0.0,0.0,1,T,0.05514705882352942
2025-10-29,4375.0,0.0,0.0,0.0,1,T+1,0.05514705882352942
2025-10-29,4315.0,0.0,0.0,0.0,1,T,0.05514705882352942
2025-10-30,4315.0,0.0,0.0,0.0,1,T+1,0.05514705882352942
2025-10-30,4232.0,0.0,0.0,0.0,3,T,0.05514705882352942
2025-10-31,4232.0,0.0,0.0,0.0,3,T+1,0.05514705882352942
2025-10-31,4332.0,0.0,0.0,0.0,3,T,0.05514705882352942
2025-11-01,4332.0,0.0,0.0,0.0,3,T+1,0.05514705882352942
2025-11-04,4295.0,0.0,0.0,0.0,3,T,0.05514705882352942
2025-11-05,4295.0,0.0,0.0,0.0,3,T+1,0.05514705882352942
2025-11-05,4244.0,0.0,0.0,0.0,12,T,0.05514705882352942
2025-11-06,4244.0,0.0,0.0,0.0,12,T+1,0.05514705882352942
2025-11-06,4350.0,0.0,0.0,0.0,11,T,0.0
2025-11-07,4259.0,0.0,0.0,0.0,40,T,0.0
2025-11-07,4350.0,0.0,0.0,0.0,11,T+1,0.0
2025-11-08,4259.0,0.0,0.0,0.0,40,T+1,0.0
2025-11-10,4258.0,0.0,0.0,0.0,6,T,0.0
2025-11-11,4258.0,0.0,0.0,0.0,6,T+1,0.0
2025-11-11,4520.0,0.0,0.0,0.0,54,T,0.0
2025-11-12,4520.0,0.0,0.0,0.0,54,T+1,0.0
2025-11-12,4686.0,0.0,0.0,0.0,34,T,0.0
2025-11-13,4686.0,0.0,0.0,0.0,34,T+1,0.0
2025-11-13,4669.0,0.0,0.0,0.0,24,T,0.0
2025-11-14,4673.0,0.08272058823529412,0.16666666666666666,0.0,18,T,0.011817226890756302
2025-11-14,4669.0,0.0,0.0,0.0,24,T+1,0.0
2025-11-15,4673.0,0.08272058823529412,0.16666666666666666,0.0,18,T+1,0.011817226890756302
