tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-11-04,【神戸高校】華麗なる卒業生人脈！ソニー創業の井深大、経団連会長の筒井義信、白洲次郎、元参院議長の扇千景…《経済＆政官界＆スポーツ編》 - ダイヤモンド・オンライン,4295.0,https://news.google.com/rss/articles/CBMiTEFVX3lxTE0zcXh6XzlIdzd6aUE1bDY5ZmF4dVRaSXQ1ZzhrbVNfYnV1OFVRN0U5MkVNZTY4bnN2N25iMlgyXzNhTWgzNHk4cEFWQ3LSAU9BVV95cUxQaHljR2wtSFhjWENmRzlZTW5JazBjR1pyTmNnb1RHcGdJaFQ0eDMwY0RidWFRVTU5MlFHalBNVEVxODFBUGRFNEFNbUN2UUZB?oc=5,2025-11-04 04:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-04,ソニーグループ傘下のコーギア、Blue Goats Capitalの資本参加を受け独立経営体制へ移行 - marr.jp,4295.0,https://news.google.com/rss/articles/CBMiTkFVX3lxTE16LXlCRC1hZnlSZEV0M05MSDFmMXhzWTJsTXltd21SVURHZ0k4cS1ubUdkNDBaNHpISG93YUxTYm0ycnVlT1NJTmhHaXpTZw?oc=5,2025-11-04 12:47:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-04,ソニーグループ傘下のコーギア、Blue Goats Capitalの資本参加を受け独立経営体制へ移行 - marr.jp,4295.0,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1oN0FaTGFRNW9ORjk0VFQySTFseDlRaVRSaTZfY3kzeE5qVHlGMUtncVFEdXNER240TmNPOEQ4cmJ1T0YyUVVjQ0U1a05UWXZtQ09JTjBIelFZNUdjYlZtbFZqUk12UQ?oc=5,2025-11-04 12:47:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-04,【SONYスマホ】「Xperia 1 IV」を2週間使ってみた！実機レビューで見えたメリット・デメリットとは？ - TRILL,4295.0,https://news.google.com/rss/articles/CBMiT0FVX3lxTE01ZFpyWDZXTlY4OEhWV29pQ3FWdWY2cmJhWGs3Nk9CNjJjRnU1VlJURmp0NU10SGF5ZjViVjdib3F5Um15SGo0d24xZGpJOEU?oc=5,2025-11-04 19:18:14+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
