fp,date,title,summary,source,url,sentimentscore,sentimentmagnitude,sentimentlabel,impact,category,mat_reason,cached_at
443a20a35b334588a66df54f5d608cf099638f07,2025-12-15,2025年に聴いた音楽を振り返られる「Nintendo Music 2025 〜今年の振り返り〜」が公開中！ - Saiga NAK,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1nTlY0QmVQN3JfRzNCVS1CS08wSkRtSXM5WHNKVUFLc2JnMUJhRjFXTHlaM1Y3U3FUVU93enhWNEY4UDNEV3JOSHZLeWExa2NLNEJnVlRDY2NQanNnN0E1S3BxcE1Odm_SAWxBVV95cUxPMEhrM3dERkg1OXVSWXhXY2xCbTBZd2RFNjRjaVdGZzNVcDc3U05Wbk9FUXBQdGRicG1UaGtESWRRdmF2VGlnY2I0RUpjSDhMelVLVDhNa1Z5djhEOXpuOWVLdmIySFJTTWxZU0M?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:36
699b8c6d62c9eec60bd68871fc21043e8d6139d2,2025-12-15,2025年に聴いた音楽を振り返られる「Nintendo Music 2025 〜今年の振り返り〜」が公開中！ (2025年12月15日) - Excite エキサイト,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMibEFVX3lxTE5BbFplYXl6T2JXWWh2bWk0ajJnN2FJSVVWdlRqaVN2eHloYW1saUhNdEVCOTJULVR3MG9kdlBRUkxjeTdieDRab01aUUM2WEhQYWhBSVhfUmwyZ3dyVGtmUUQ4dUJwYm01TUdqdg?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:38
934e0e33084ef47ac3401b849c1ce11dad07b17e,2025-12-15,コーエーテクモ、Nintendo Switch2版『真・三國無双 ORIGINS』のプレオーダーを開始！豪華コンテンツが付属したDigital Deluxe版も登場 - gamebiz【ゲームビズ】,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiREFVX3lxTFBkdFBNenY1WmdwdXpNRGpyVWlkTEoxRnRUQ1VJTWdxTnI4RFdkR0NFVVo2RXV1R0pCcWVmWFJpOVJFRXFv?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:39
ecbc183998c1748ab4b0a51b834dcf567b903d2c,2025-12-15,Nintendo Switch 2ドック用カバー「メッシュホコリぼうし」ゲームテックから12月15日発売 - GAME Watch,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiZkFVX3lxTE91TGtCY1lydHlRSVlCb2U2X0J4ekV3SlAtdE5aTFI2RklHTzN4MC1sWGt3OWlyMUdhM1RQRzQ0Y1VCZUc0bXVSTlIxMTkzcnFZOF9uS0hrNzF1REJkUjRPdWM3b2JVZw?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:40
fecfcbbfcbed412f72821264efdec87930244d6b,2025-12-15,Nintendo Switch 2ドック用カバー「メッシュホコリぼうし」ゲームテックから12月15日発売 (2025年12月15日掲載) - ライブドアニュース,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiXkFVX3lxTE0tMGQwWjU5Qmw3dThKUXlHVkVPTDE4OWFTdnZTM2E3LTlpSjV2TWFQVi1RRGNQNEJBbTBaUllfQXVTckhTZDZodXZUXzNGWHhUTWRLVE4tZVNEWlpjeUE?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:42
00adb0bd643b941db379482a7e8a21254769ad8d,2025-12-15,「クリア後も面白さが続く！」「一生遊べるかと思った」 アップデート情報満載の『Nintendo switch 2』ソフトがこちら！ - grape [グレイプ],"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiPkFVX3lxTE1NbFU4WmktOXlxYzEtWGN3SGpEUXplWGg1ZDhsV0FYWlhlV3FWNlVlel9TbExtQ1hxd295VGxn?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:43
c839b0962f7ea377f022608271d93c0b62b4f63a,2025-12-15,Nintendo Switch 2版「真・三國無双 ORIGINS」のプレオーダーが開始！ - Gamer,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9CZzVnaDJ3YW01SEtVaG53WjZabks1MXB5ckNJeWpPSW5IS05hXzlFYUhRcDlDSFNxcXNWT28tUGlqN0Y0dmJrOFN3UXJmaFpKMVZLUA?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:44
1aaab0ce677d34256e06ecaf53aae4f2703cf122,2025-12-15,【2026年1月】バンプレスト「ポケットモンスター」新登場プライズ一覧 - Nintendo DREAM WEB,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5HejFLNnpqLVR3SUhEQ3NUYUFDT3RVWjNoejZ5X3NqLUwta0VZbTlWZVQ1MGhPUHFsNHZDSHpNaVl4Nm52djVNQVZnSHd2RG14YWc?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:46
d5e5a05bee8fa614588591fe88c0e3a4d5bdc6a8,2025-12-15,（プレスリリース）Nintendo Switch(TM)版『ふたりで！にゃんこ大戦争』全世界累計160万本突破記念ホリデーセール開催！ - ニフティニュース,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMib0FVX3lxTE1WM0dYbzM5YXl5NWZEaE5KbDJSUTdwZE92dkcybV92eWpxN3E1ZWNhcWxFaXg0c0l4N3RfdEVsWjB2Zk44QlpZT3MtZ1BocngyNXhtZkZaZ3JLV2dmT1B4bzdyYWtldVhEaXpRaUp3MA?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:47
09a740fb46624aed4cb2a6fa4801e6cf672d4e52,2025-12-15,Nintendo Switch™版『ふたりで！にゃんこ大戦争』全世界累計160万本突破記念ホリデーセール開催！ - PR TIMES,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiakFVX3lxTE1oNk1HQ0JkWS1hNzNoR0oyOGtaLTRNa2NjSUgyaXllVkhhTk45TUpyYkg5bDVkbnNFdjl3QklaUGtoSUtQZDZXMGkxX1JSeC1oVzVQQzMzZ2JpcU9jVklib08tOF9PT1l3QXc?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:48
284b6f95036bd423ddbc85ad5dbf5fa9c50972c1,2025-12-15,Nintendo Switch™版『ふたりで！にゃんこ大戦争』 全世界累計160万本突破記念ホリデーセール開催！ - にゃんこポータル,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiZEFVX3lxTE54cTNXYkZvaEFOamtsOExaT24wRThfX3VpNU1NazNtd21vMjlNQ2xlX3dyMklfR1g2Y09PVUtBeGtSQU96a1lxZ05GU3ptOFFHeGFrcW9lejN3MEVRb09VaExrdm8?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:49
1fbb4692a656aaf3dad6c5c15c15964d8647cf47,2025-12-15,ビックカメラ.comで「Nintendo Switch 2」を含むセット商品が先着販売中！今ならまだクリスマスに間に合う！？ - 東京バーゲンマニア,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1yQ3VIczhBcnBnelpQMV9yUzY1ZFFOZzJkUnRTTjd4amlGbVdzQ2tBN19WY210VDRyX3ZVbUhGOXVzVldBckpmWlEtbVV0OEx4YkRz?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:51
ae323adf6cca6cfa47942314f825bf9a51fe6708,2025-12-15,ビックカメラ.comで「Nintendo Switch 2」を含むセット商品が先着販売中！今ならまだクリスマスに間に合う！？ - bcnretail.com,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiX0FVX3lxTE44OTdpSGZzazhfcmFsSFczLVNYMTdhYnpRamhVWEtNSkpEU3BwZTRSeG0wQjUzenBKZlUxcWp6Tk50c296Q2VUZnlfWlMzb1FEM2wyN1FNMmJsdnc1YnNv?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:52
0cdeb3f5a5fbaf77c0596819ac1dcaa53798f11d,2025-12-15,"Nintendo Switch (TM) Game, ""The Battle Cats Unite!"" of PONOS Corp., Surpasses 1.6 Million Global... - 共同通信PRワイヤー","Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9wTVdpNHhpN3l1dF9LOXZRUTh0amlzREp4c0UtQnFsRTUyZFpSeGJmU3VwVVpfUnB0S3RObkNTMXJvdmgtbjBfY1NkYWM1YUk2NG0tcDVFR1JMbUU?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:53
2793ea0e2660bf5d5f5168b9c10d2c5b276c83d9,2025-12-15,Nintendo Switch(TM)版『ふたりで！にゃんこ大戦争』全世界累計160万本突破記念ホリデーセール開催！ (2025年12月15日) - Excite エキサイト,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMidkFVX3lxTFAyNWE4TzVQSVB2SUhrdU9lbS1zMkdIbnY2Vm14cVBYVEl2WXRwdTlndlRtX2UyRHNFZTBCem9peEMtV1NDeEtoeU1qbTduem1IU0xWZEo2R2taWGFLWnlvOHhUdmZhbmZ6TmNZUWxfV2ZUUHp0ZkE?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:55
1dd98206f2014a63f9fc1df37d5f540f578d503f,2025-12-15,indie.ioとRed Essence Games、手描きのアートと音楽が融合したアクションRPG『Traveler’s Refrain』をNintendo Switch向けにリリース - gamebiz【ゲームビズ】,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiREFVX3lxTFBPT3dfWjJPT2NUSWdOU1JSa0ZPMlVaVEhaN2p4WmhVWWUxRnJPM21JeXAzeTA1anNvREh2WHZkN2xpT08z?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:56
6ff80d532c52be54de595d33e6bc89c52dd1fd6c,2025-12-16,傑作RPG「Divinity: Original Sin II – Definitive Edition」のPS5/Xbox Series X|S/Nintendo Switch 2版が発表と同時にリリース - doope!,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiS0FVX3lxTFA3YkNGUjJLSHhhWG5QTHBLc19Mb1Z4b0ZVa0ZKdXN0aW5LTHctY1NoMzM0ZzIyclh1N0EwYXVFSUhVS3hPMVVhQlFxYw?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:57
8be3dae0b82ce381fadd903650c04108892959c1,2025-12-16,Divinity: Original Sin II - 決定版がPlayStation 5、Xbox Series、Nintendo Switch 2で現在発売中 - gamereactor.jp,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPSnNXOXJhcGZzZURsRVBTNVVJVnB5UjgxNEVRQmt6NllKZ3d1cGNGLUNvajZSaEtlOG9kQ0NhWVgyVUJZNXBjODhvYmRwZ1VSMkhtSUdfTW52ZFZzeTFpVUJhU2ZxRWhqYTNuNU9HbDdIcmt1WmxTYWsySUxQVURUV2NNY0toTnBObVhfQWVoWUVxTWxCdEVNZEJfZXRKNkttNHRhOHdIcTlBcEpocS11UWJ4UmIwTnRtc2tjaDVOd2NyTHlWY0RTM3MtUlVncGc1TVA0YjV2N2dfSXpJ?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:07:59
558aa242de1d069f2d2d44fe045b9dc740d085fb,2025-12-16,Nintendo Switch発売直後に100万円分投資していたら...資産が増えていた? (2025年12月16日掲載) - ライブドアニュース,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5FeHVwVS13RTFWZjdUNEpXd0FxUGc5XzJvbENlLTBxbFN0MTBCQ2U5Sk9wWlEzM3paWmFBUjBwVHRrOE9pNS1RLU1BX3lMSmk2Wkx2bEJnclRaVmRIUkE?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:08:00
2edc9d343f29d1e11c88c5b3df7aa11c633bbe15,2025-12-16,“マンガ・アニメのまち にいがた”から、若手クリエイターと学生が Nintendo Switch™向けゲームの原作に初挑戦！ - NSGグループ,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1SRUtxTkM4UmRIdlVVLUV0d3NMeXRuLS1JTWx0OGNmbW9TV09GRGdRZmtVNUt0R000dmxFWldFanJjUjh6LVJOaUxaaXJrd1JxUTVRd3p5NGdVQjRCVjhCNw?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:08:01
f0dfc478976f969aa316e685d81ddf1989bf0a47,2025-12-16,ニンテンドードリーム 26年2月号：付録はパラノマサイト×都市伝説解体センター2026年カレンダー／カービィのエアライダーA5クリアファイル - Nintendo DREAM WEB,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",,https://news.google.com/rss/articles/CBMiREFVX3lxTE1waHNZeU8zU3NNYzN1ZW5TZ3JSczZ3Y0FuSHRMeDF2VWJzZEpmNHZTY2tqZ2tkVW02OFFILTBNazVQc244?oc=5,0.0,0.5,neutral,,unknown,,2025-12-16 13:08:02
