tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-10-02,宇宙を駆けるマリオのふたつの冒険。Nintendo Switchソフト『スーパーマリオギャラクシー + スーパーマリオギャラクシー 2』は本日発売。 - Nintendo,12785.0,https://news.google.com/rss/articles/CBMihgFBVV95cUxOQUZEMjZ5SllWbE91cGY4bEU4cGR3YjBBbXhUdC1OYm9sUFV0ZFVpZXp6RllEdW1qcF96dmZVTkN0SWRrOXhmMHIzRng0ZDN1ZVpBU2VpMmFwY1R3UW15ZHBkR1NsZzM1emFzbXFxVWJ0U2pwOG9uSlpzRzlaeDVqYzVhMDl2dw?oc=5,2025-10-02 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-02,任天堂、シンガポールに子会社 - 日本経済新聞,12785.0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWUhiSjl6em9HQlo4ZlMxOXFJN2laYWtsUUVUZGtIREJ4U2pxdlBWMEN6MjRxZFNtZ1o5LTBCS29IeXR1VlJxTDFwSkx1ZEw4UXZWRlh4M0VweF9mTE5Db0xJUzk5RHcwcko5SmRSdzhEeVJBTUlqRXBacUpFS3VRYUtEVHdFbEo0WFFobTRQUWtwa0RsQ0U2U2tBbkJ6TXN6QjhpX3JMVEg?oc=5,2025-10-02 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-02,『Pokémon LEGENDS Z-A（ゼットエー）』の新たな映像を公開。新しく発見されたメガシンカポケモンも改めてご紹介。 - Nintendo,12785.0,https://news.google.com/rss/articles/CBMihgFBVV95cUxQdEJJUjRGTWptYTU2YlI2Z2UyTml0eGtPaWxCUUxyemJzUkdEM1pZclBGWEhhUXBSX08zUWp3TUR4RTNFZmJqMnBaZ19HVDNibW5BMVZDVzAtZkx3cFhRdVVYT0Vqc09VQzl4TzJPOExlTFgzSGJpU09rcDQ1a2F0TzVNRHFfQQ?oc=5,2025-10-02 22:04:56+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
