tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-12-18,米テキサス州がスマートTVによる「家庭内スパイ行為」に関してSonyらメーカー5社を提訴 - XenoSpectrum,4056.0,https://news.google.com/rss/articles/CBMid0FVX3lxTE9nMERVX1dhdUNYYkFlbVZYZkhRbk5uUk01dXF4dUU4Q2I3OF9YMEY1REVCNzRlTGZvMUNJdUpvRDJZRURZR3BGaWlMYVpJVVBZdVpUOV9NeGlicWdRMDZ4Qy0wQ2RUcVBNaGZkb1h2aC1nSDNKeFpZ?oc=5,2025-12-18 09:59:36+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,健康ポイ活アプリ「Tune Life（チューンライフ）」および Sony Bank CONNECT コラボレーションキャンペーン実施のお知らせ - PR TIMES,4056.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE9DVUctem00N2N5Q0d5VFBMeHBWMjFzRTV4TVVIVXZfOVJ6WTJEaTI3bGV2eHBRMWNfc2JyYkdJSElEc1Vqd0MyNVg4R1pUcUp3dXVxdXlmeDJnNjNYTUwzQ0NueU95ZlNwNlE?oc=5,2025-12-18 10:00:04+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,"SONY 4K液晶テレビ ブラビア BRAVIA X75WLシリーズ 最大26,400円値下げするソニーストアタイムセール。2025年12月24日(水)まで。 - ソニーが基本的に好き。",4056.0,https://news.google.com/rss/articles/CBMiWkFVX3lxTE51WXJzQTVSOVNvc21aUF9KdklKb2pFMTA0cGJqUE9fbUhaVEVEM215ZE0tMzRmelB0M0gzbm1ESnV2Q0xxdEdJcmpiV2ttcXdTZ25NQy1zM0x3dw?oc=5,2025-12-18 10:39:03+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,【Amazonセール】動体撮影を本気で楽しみたい撮り鉄へ．SONY α6400 ダブルズームキットが20％オフで登場 - 鉄道ファン・railf.jp,4056.0,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5ueDhxVDBKa0lrVC12S05mVnlMSUswWkJyX0ZEbFRzNldYY1lick43MTNDd1RoaHNqWTgwckk3U1hWclI3MFFWbk00Y1FWRlBxS2hwTElNZw?oc=5,2025-12-18 12:23:11+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,ソニーグループ株式会社 組織変更および人事 - Sony,4056.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE1mVmxYZVBSakRJZjhMaTFGV292WDdJeFlTY1pySllROERmS2h6YWN6UnoxSkpBTFJBMlpDWURmb3RKa1JPWXNWaHlPT19ZZDl4ZG9nRm5iUlJKdkIyZ29zbW9WVTJ5R3ZXa3c?oc=5,2025-12-18 15:48:13+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,健康ポイ活アプリ「Tune Life（チューンライフ）」および Sony Bank CONNECT コラボレーションキャンペーン実施のお知らせ - Mapion,4056.0,https://news.google.com/rss/articles/CBMiakFVX3lxTFBXeGFzdWZ3Z0FsSGpZU2Y2a3VvR3M2cy1yeHQ3LXV3SWhnMmdnSmhXRVk2TUhFYktuRkZqc05OYWl0UlhtbWpUTW1rT0RJNF9oS2pEN081NUVZUXItd3RnYk5ndnlWaE02YUE?oc=5,2025-12-18 22:15:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
