tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-10-15,ソニーグループが｢隠れた防衛関連企業｣といわれる理由､実は同社製のある汎用品がミサイルやドローンなどに欠かせないパーツになっていた - 東洋経済オンライン,4342.0,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBQYjc4QUd0dm4wbTVXbXFteW1oQUgwUWRwNFV6cmZmYVVkNVQtcXZoME51d2hCdm5zWUxDSUY0Q1NRZDRXWHhIWXNyaTZpRzR4d3c?oc=5,2025-10-15 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-15,都会の中の公園を再定義する取り組み Ginza Sony Park Projectが2025年度「グッドデザイン金賞」を受賞！ - PR TIMES,4342.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE5qQUUwb1czUUljaHhXMnBnM0J2RVhNdWYxa2xtdUt2OWtLNl9wSnl2UDR2cnJYUjJsaEg4QTQ0RVhGcDZ1SHVNT2p4VldvbFk0YmpNalN2SnV0Y0VRemxyRkg2a3JXSldTWGc?oc=5,2025-10-15 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-15,『Ghost of Yōtei』を通して日本の自然美をバーチャルで体験 - Sony Interactive Entertainment,4342.0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNXp3bEZrMVVSVVRWUG42TklUR1RoYmw2MXhKZ2MtOUtDOVVkVEl5SDdsQWo5WlVDN092emdrUDFoMHJHZUxOdm1sNkpDZHYyNFhkdmhFTVM4N1ZudllkaGFLdkc2MUdyRHVPcWNUOVRJaTJBb0lwUnN4UUJWbjNveUFROXc1M05RY2VvRDQ4X2pBdXNVV1VBTF9ZZDBwQVR6QzBSRUY1NzM?oc=5,2025-10-15 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-15,ソニーG、「らしさ」で働きがい高める 盛田時代から続く成長機会の提供 - 日経ビジネス電子版,4342.0,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE01aVA3dzNfb19MLThlUGJEQWs0MFhoQ3NBVDBjSDhJOXZmeHJoMVlHdGllT1d2ZzVzODlzaFZ3OWpUbEtiZ1JSamJpdndycDhwVmhranZELS1FYWxCVm9JNm9aN0NKNU0?oc=5,2025-10-15 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-15,インハウスデザイナーの夢とロマンを紹介する「Industrial Romanticism」展にソニーのデザイン部門が出展 - PR TIMES,4342.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE9waHZMWlRhZ3Q5d0JobVhndkFha2RWc0dBQ29aLWhKMnFvY0RCQXJ3T294M1JGc0FBLUpzYzFaX1BsbzdoeTF1UFg0RUd1M1R6SFlXc09LSlJUVVNZaThXYklzMUR6WG5WaGc?oc=5,2025-10-15 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
