tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2026-01-07,映画『国宝』の世界観を写真と立体音響で追体験。Ginza Sony Parkで「映画『国宝』展 ― 熱狂は終わらない、物語は続く ―」が開幕 - Tokyo Art Beat,3976.0,https://news.google.com/rss/articles/CBMipgFBVV95cUxOWG5PWV9SRVdqWGN2N2kxd3M3ZUpldWtYcURyQ2hTTnZYSU00ckFIamF3elpOUnZnQzROSUtSTDlneTRmd1FnVDRpUXJvZkxfbWV6WUxsQzVzNTd5MHB0ZGp4R2Y4NDNjTkptWDAxQjZ0c2N3R3VBSU9WZDV2ek91OXJja0dpRmZLOG5PUjExY0xUT1ZndmF2eE0wZkRvZ3JUUlNzNkVB?oc=5,2026-01-07 10:59:17+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2026-01-07,ソニーグループ[6758]：自己株式の取得状況に関するお知らせ（会社法第４５９条第１項の規定による定款の定めに基づく自己株式の取得） 2026年1月7日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,3976.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE9Ed3pSY0s1a3RfeVdMRFFiTFF1cVh1NUp2dGJ1eHpOWmlfdVFEUVFTVWxhNjJRaDBqQ19wQ2VSOGlrTjdvT0xvbXdsNThyRE9wa2s1SDl5QWVKY3I2TWtuYzItbm9hLVdXbEE?oc=5,2026-01-07 11:30:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2026-01-07,My Sony 壁紙ダウンロード 今月の壁紙「Signature Seriesモデル フラッグシップウォークマンNW-WM1ZM2とヘッドホンMDR-Z1R」（2026年1月） - コール徳島店,3976.0,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9mVkFxNzJyTXpYYUw4QUVBZlJ5TmVSR1FKaDYxbXpJb0oxYXVhckpWeUxjOVRRRk9UbnVhbXZpeUlmM1B0Z01KcXQ4NHFoM3ZSbTYtblFJR2ZnZGlkZmFfUTl3?oc=5,2026-01-07 15:03:46+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
