tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-10-27,ソニーグループ十時裕樹社長CEO、ワーナー買収「するつもりない」 アニメに集中 - 日本経済新聞,4402.0,https://news.google.com/rss/articles/CBMibEFVX3lxTFBqbFpCV3BFRlhSVkpSdmJyV2NzLVJmaGQzSXU1QjRUVDBPRjZwcjd4NjRDbS1RRGgwSzBYdTJLTF91WEd4am1uS2xqZUxvZk4wRWM0QUlEbnZlRENhaFFzUmNXaTlQd2RjbmNsYQ?oc=5,2025-10-27 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-27,ソニーグループ、「MR Cruise」の本格サービスとして「タイムトリップタクシー」を開始 - 日本経済新聞,4402.0,https://news.google.com/rss/articles/CBMiowFBVV95cUxQMmpIU3FFOEpjajhVWW1WR1pOMnRIWV92V2hkWlNaSnlBLW9DWVZJNVlFRDI0X0pPVFNJTU5ab19TWmpQVkhKUW8yRUEyMF9QZjhUd3V0TVl0ZmJQNWtYQVp1TFA0My1tR0haN1Brb0xSdDJDM0ptME1ON2xONlItTWhEQnliYjhKVDhqaE42b2ExbjlZa2R3MEpfd09RNzMySXJZ?oc=5,2025-10-27 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-10-27,ソニーG十時CEO、ワーナー買収「するつもりない」 アニメに集中 - 日本経済新聞,4402.0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZkxjYzZDMlBaQVA3YkI0S090b2puWG5FR2JTdzl1bUlKazJDVnNmeGx5R1plQVF1N19BYmFCcEx3UlJ6dnk5UnYwZm94SWNrQTdHdkdJR0RQRllxbjRDbHdkQWZyMjZ1R2dIMGFkaDBlTjRLVnpveFljWV9lSVhsSVE5OFhrWTNjcV9JZjRxNHZROFlKUnJZZFgtWnBMMHctbmZWMUdBTHE?oc=5,2025-10-27 16:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
