tradedate,company,newstitle,closeprice,newslink,published_jst,newsdesc
2026-01-09,SoftBank Corp.,「ソフトバンク（9434）」の株価はいくら？1年間の株価チャートも！ - MSN,214.5,https://news.google.com/rss/articles/CBMi1AVBVV95cUxOUWp5elhmcTlIWktzdUxDNkRac280QVBLOFNlMjlPLW9wcEhUZmJQWTk5YkhFcUU5Rk93MV9vS0MyWjFPM0lJSFYxbDhEX0oyUGV4eHA1ZWJ3ck82Ymt6NkxoblRYN2FJeERBQldXaEN1clprZnF4bl9IVkFkbW1GXzc3QU54VnNQVFh4c3BJVzRWTnBWNVl6WHhVak9BSFBCOFN0SlhQM0hEcjJtaHI5ZzZfbVFQdmpuZG5vTGNPa3VqR3l3VEE1a01tVGlFSmZPZHdJa0V6NURRdU5QT1JTZngzZHFTQkJaNGFiZUtVREJVV0V5bjNTVE1EUlVRLU5TYUNmVmFtTE5oUmNXeFhVczBudk1ENjJSbXZVVVNsRUJpTGJhNVlaU3A4cDlsdWx3eVZLd2Jjd1hER25Pak82eW85U25aajZoRDZhWVUweE9nS1R5N1p5Uk13OHZicTZzdS1BTkk1ZkM4aGFRVEZLdGlnTkc1enNIUm9LMl90SWhsUmREYzEzb2R0QUJCdmotVG1vVDhOQWtIejEzejBkci1saWFOMHNsQVZCN1FLX1FWUW9KQzdlUEFrSXJWN3VCYnpwUEhQNGM0NWJPNDFFYkc1bk9YSmFhWXdnVmdGcXgyOUFxRTFRUVNUaFVzYVc4RWlWMVNHM3ZwdWJWSVpiZkt5eFhWMWJDM1NHeEZpaHk3aTZESlZyalQ0RnB1NDRuLTBfQjRRTVQtWGdYdEY0QkZKdFRMcGlXWmxrNlRIVFc2XzlxbHJOV3BVV3JNZFBsS2p5aUR3eGJCZXRJMDNSYy1ZS3N0ZmRac3NnY01hUjAwYjdzQWlsS3pxejItaE9GOHQ1enZ4NEJpdk5oaU53Mjh5RFhyajFRTlpMWVdFcEUzRWliSElSVDJEUFpEQUFnbkdkXzA4V0VTeWZPQkkyaVpsQWNCYzdlVjdlanQ0a2ZCamVn?oc=5,2026-01-09 00:58:09+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2026-01-09,SoftBank Corp.,No.355093 株の動向が読めず、最近は毎日苦… - ソフトバンク(株)【9434】の掲示板 2026/01/06〜 - 株式掲示板 - Yahoo!ファイナンス,214.5,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOVJ3TGNIazZfZ0diUS1PeHcxY2ljNlFhbVktMGk1NkticERpbWpGMVMzOXFyT3ljcVJfZDhDTnQ1aUR1MHNkaWUyS3BJRWx1M185ZWtta04xX1RwNU42YkxHRDZzVVFFOEdfdEt2c19rc2k1Mks1Z1IzUDlaMHNraXoyNnhlS01G?oc=5,2026-01-09 12:27:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
